"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04932","Human Diseases","Endocrine and metabolic disease","hsa04932","Non-alcoholic fatty liver disease","79/3484","157/9564",0.503184713375796,1.38130269768258,3.64651910677698,0.000231134978680392,0.00112036260499245,0.000517012452311403,"LEPR/COX7A1/PIK3R1/AKT3/RXRA/CYCS/ADIPOR2/EIF2S1/NDUFS8/SDHC/PPARG/MAPK13/ITCH/UQCRH/UQCRQ/IL6R/CASP3/NDUFAB1/CEBPA/CYC1/NDUFA6/COX5B/NDUFS5/JUN/NDUFS6/MAP3K11/NDUFS1/SDHA/NDUFS2/COX6A1/COX5A/BCL2L11/COX6B1/FAS/NDUFB11/COX6C/CASP8/XBP1/FOS/IL6/COXFA4L2/NDUFB4/PIK3R3/NDUFB3/MAPK10/BID/COX7B/NDUFA1/UQCRC1/IRS2/PRKAA1/SOCS3/NDUFV2/NDUFB5/MAPK14/COX4I1/PPARA/NDUFC2/MAPK11/IL1B/IRS1/COX7A2L/NDUFA10/GSK3A/UQCR10/BAX/PRKAG1/PIK3CD/NDUFA9/EIF2AK3/NDUFS3/MAPK12/NFKB1/NDUFA13/CASP7/SDHB/NDUFA3/PIK3R2/UQCR11",79
"hsa04140","Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","84/3484","169/9564",0.497041420118343,1.36443861711017,3.61829282940025,0.00025183113281599,0.00120395979935316,0.000555589954157845,"PIK3R1/RRAS/AKT3/TSC1/PRKCQ/GORASP2/YKT6/VMP1/GABARAPL1/DAPK2/DAPK1/ITPR1/EIF2S1/ULK2/CALCOCO2/SH3GLB1/GORASP1/WDFY3/CFLAR/SUPT20H/WDR45B/NRAS/STX7/HIF1A/BNIP3/OPTN/RPS6KB1/LAMP1/VPS39/PPP2CB/ATG12/MLST8/PLEKHM1/RHEB/CAMKK2/MTMR4/PRKACA/DEPTOR/UVRAG/MAP3K7/TAX1BP1/SNAP29/PIK3R3/RRAGA/MAPK10/RAB7A/RAB1A/UBB/MAP1LC3C/IRS2/PRKAA1/PTEN/DDIT4/RAB8A/BECN1/MTMR3/BCL2L1/MAP2K2/NBR1/GABARAPL2/IRS1/MAP1LC3B/MAPK3/PRKCD/TRAF6/RRAGB/MTMR14/RPS6KB2/ATG5/PRKACB/SQSTM1/BCL2/PIK3CD/EIF2AK3/RRAGD/KRAS/IGBP1/WIPI1/MAPK1/RUBCN/ATG9A/ATG101/VPS41/PIK3R2",84
"hsa03015","Genetic Information Processing","Translation","hsa03015","mRNA surveillance pathway","55/3484","103/9564",0.533980582524272,1.46584107097076,3.59809170508241,0.000304542591335235,0.00143628870778375,0.00066280251030286,"SAP18/NCBP2/CPSF6/PPP2R5A/CSTF2/NUDT21/ETF1/PCF11/FUS/NXF3/PABPC1/SMG7/PPP2CB/MAGOHB/PABPC3/RNPS1/NCBP1/GSPT1/SMG5/NXF1/PPP1CB/CSTF1/PAPOLA/PABPC4/FIP1L1/DAZAP1/PAPOLG/CPSF1/PPP2R5C/PPP2R1B/NXT1/PPP1CA/EIF4A3/CSTF3/CPSF4/RNMT/MAGOH/UPF3B/ACIN1/CASC3/PPP2R5B/NXT2/RBM8A/PPP2R5D/PPP2R3B/SMG6/PPP2R3A/PNN/HBS1L/RNGTT/PPP2R5E/PABPN1/BCL2L2-PABPN1/WDR33/PPP2R1A",55
"hsa05416","Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","40/3484","70/9564",0.571428571428571,1.56864031490897,3.6144848967309,0.000318363176447775,0.00147951528839806,0.000682750231111155,"CAV1/SGCG/HLA-E/FYN/CYCS/LAMA2/ITGAL/DMD/CASP3/SNTB2/PRF1/HLA-DRB5/HLA-DRB1/HLA-DRB4/CD55/HLA-DRB3/RAC3/HLA-DPB1/SGCE/HLA-DMA/HLA-DPA1/HLA-DRA/CASP8/LOC102723407/BID/HLA-DQB1/SGCA/ICAM1/SGCD/HLA-DQA1/HLA-DQA2/HLA-DMB/ACTG1/EIF4G3/EIF4G1/HLA-C/ACTB/SNTB1/SSPN/CCND1",40
"hsa04530","Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","84/3484","170/9564",0.494117647058824,1.35641250759776,3.54924909714015,0.000322186710367486,0.00147951528839806,0.000682750231111155,"JAM2/CLDN5/CLDN18/MYH11/SYNPO/MYH10/NEDD4L/JAM3/TJP1/CTTN/MYL9/CLDN4/CLDN3/TJP2/MPDZ/RDX/DLG3/ARHGEF2/AMOTL2/CDK4/CLDN7/HSPA4/RAPGEF2/SCRIB/PCNA/PRKCZ/TUBA1A/ERBB2/PARD3/TIAM1/PPP2CB/ROCK2/ARHGAP17/MSN/JUN/RUNX1/MYL6B/MAGI1/CACNA1D/CFTR/ACTR3/CLDN10/PRKACA/ARPC1A/RAB8B/MICALL2/NHERF1/TJP3/RHOA/MAPK10/CD1C/CLDN1/PRKAA1/ACTR2/YBX3/PPP2R1B/RAB8A/HCLS1/TUBA4A/ROCK1/NEDD4/ACTG1/ARPC5L/MYL6/DLG1/WAS/ARPC3/CLDN6/MYL12A/ARHGEF18/TUBA3D/MYL12B/ARPC1B/PRKACB/PRKAG1/ARPC2/ACTB/ACTN4/NF2/ARPC4/PPP2R1A/TUBA1C/SRC/CCND1",84
"hsa05152","Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","89/3484","182/9564",0.489010989010989,1.34239411564325,3.53019449546036,0.00033978254473712,0.00154005335212019,0.000710686662266293,"CALM1/CALM2/IRAK1/AKT3/MRC1/CYCS/HSPD1/FADD/NFYA/PPP3CB/MAPK13/PPP3CC/HSPA9/CASP3/IFNGR1/MRC2/JAK2/TLR4/LAMP1/IFNGR2/CYP27B1/NFYB/ARHGEF12/HLA-DRB5/HLA-DRB1/HLA-DRB4/PLK3/RAB5B/CIITA/HLA-DRB3/HLA-DPB1/ITGAX/STAT1/VDR/HLA-DMA/RIPK2/JAK1/CLEC4E/FCER1G/HLA-DPA1/IL10RA/HLA-DRA/ATP6V0A1/CASP8/CAMP/C3/LOC102723407/IL6/RHOA/MAPK10/RAB7A/BID/CAMK2G/HLA-DQB1/FCGR3B/CD74/HLA-DQA1/HLA-DQA2/CTSS/HLA-DMB/MYD88/CLEC4M/BCL10/MAPK14/RFX5/TRADD/MAPK11/IL1B/MAPK3/ITGAM/RAB5A/TRAF6/CREB1/MALT1/NFYC/BAX/ATP6V0D1/CLEC7A/BCL2/CARD9/CEBPB/MAPK12/NFKB1/PPP3R1/CEBPG/MAPK1/FCGR2A/FCGR2C/SRC",89
"hsa03082","Genetic Information Processing","Chromosome","hsa03082","ATP-dependent chromatin remodeling","61/3484","117/9564",0.521367521367521,1.4312166975772,3.5524330664798,0.00034694507093792,0.00155235679176069,0.000716364316511494,"H2AZ2/SMARCA2/H2AJ/VPS72/MRGBP/H2AX/H2AC18/H2AC19/SMARCA5/RBBP4/UCHL5/ACTR5/SMARCB1/RUVBL1/YY1/H2AC14/ACTL6A/MORF4L2/SMARCC1/ING3/H2AC25/TRRAP/H2AZ1/SMARCE1/NFRKB/H2AC13/H2AC7/HDAC1/KAT5/BAZ1A/BCL7C/H2AC17/CDK2AP1/RUVBL2/SMARCA4/HDAC2/H2AC8/BCL7A/MTA1/BICRAL/H2AC6/SS18/INO80B/ACTG1/MACROH2A1/YEATS4/SMARCC2/MORF4L1/SMARCA1/ZNHIT1/PHF10/CHD4/MBD3/YY2/MEAF6/H2AC11/MACROH2A2/BRD9/ACTB/BCL7B/EP400",61
"hsa01522","Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","53/3484","99/9564",0.535353535353535,1.46960999199805,3.55532231324104,0.000357879921365126,0.00158101382982822,0.000729588647153422,"NOTCH4/PIK3R1/AKT3/HBEGF/NOTCH1/GPER1/ADCY9/BIK/MMP9/E2F3/MAPK13/CDK4/SHC3/NRAS/ADCY3/CDKN2A/ERBB2/RPS6KB1/JAG1/JUN/SHC1/PRKACA/FOS/PIK3R3/MAPK10/E2F1/GNAS/NCOR1/MAPK14/MAP2K2/MDM2/MAPK11/CDKN1A/MAPK3/TP53/JAG2/CARM1/RPS6KB2/BAX/PRKACB/CYP2D6/CYP2D7/BCL2/PIK3CD/KRAS/EGFR/SP1/ADCY7/MAPK12/MAPK1/SRC/PIK3R2/CCND1",53
"hsa05170","Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","102/3484","214/9564",0.476635514018692,1.30842194491239,3.4540666552612,0.000429949884884553,0.00187565637280886,0.000865557005096535,"GNAQ/GNG11/PIK3R1/CALM1/CALM2/HLA-E/IRAK1/AKT3/CCNB1/CCNB2/CDK1/GNA11/NFATC1/PAK1/CYCS/AP1M2/NFKBIA/ITPR1/PAK6/FADD/AP1S1/PPP3CB/ELOC/PDIA3/MAPK13/CHEK1/PPP3CC/AP1S2/PRKCB/TNFRSF1B/NRAS/APOBEC3B/GNAI2/NFATC3/CASP3/CRK/RPS6KB1/TLR4/CD4/CDC25C/BAK1/AP1G2/LIMK1/JUN/CALR/SAMHD1/RAC3/PXN/FAS/PRKCA/GNAI3/DDB1/MAP3K7/CASP8/FOS/MAP2K3/GNB5/CUL4B/PIK3R3/AP1G1/MAPK10/BID/PAK2/RNF7/PLCG2/GNB1/APOBEC3F/ATR/CUL5/PTK2B/DCAF1/MYD88/TRAF5/MAPK14/B2M/BCL2L1/CD247/WEE1/TRADD/MAP2K2/MAPK11/ELOB/MAPK3/TRAF6/IRF3/RPS6KB2/HLA-C/SKP1/BAX/BCL2/PIK3CD/LIMK2/KRAS/APOBEC3G/MAPK12/NFKB1/MAP2K6/PPP3R1/TAPBPL/TAPBP/MAPK1/PIK3R2",102
"hsa05223","Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","41/3484","73/9564",0.561643835616438,1.54178003554409,3.5173274560366,0.000442434176548173,0.00190629046438657,0.000879693684364788,"PIK3R1/AKT3/STAT5B/RXRA/FOXO3/E2F3/GADD45B/RXRG/STAT5A/CDK4/PRKCB/HGF/NRAS/CDKN2A/ERBB2/BAK1/TGFA/RASSF1/EGF/PRKCA/EML4/PIK3R3/PLCG2/GADD45A/E2F1/MET/MAP2K2/CDKN1A/MAPK3/TP53/RXRB/BAX/DDB2/PIK3CD/KRAS/EGFR/STAT3/MAPK1/KIF5B/PIK3R2/CCND1",41
"hsa04658","Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","50/3484","93/9564",0.537634408602151,1.47587126402726,3.49073915687502,0.000455437303110105,0.00193838559494423,0.000894504587623185,"NOTCH1/PRKCQ/STAT5B/NFATC1/NFKBIA/STAT5A/PPP3CB/MAPK13/PPP3CC/NFATC3/IFNGR1/JAK2/CD4/IFNGR2/JAG1/JUN/HLA-DRB5/HLA-DRB1/HLA-DRB4/HLA-DRB3/HLA-DPB1/STAT1/HLA-DMA/JAK1/NFKBIE/HLA-DPA1/HLA-DRA/FOS/RUNX3/ZAP70/MAF/MAPK10/LAT/HLA-DQB1/IL2RA/HLA-DQA1/HLA-DQA2/HLA-DMB/MAPK14/IL4R/CD247/STAT6/GATA3/MAPK11/MAPK3/JAG2/MAPK12/NFKB1/PPP3R1/MAPK1",50
"hsa00100","Metabolism","Lipid metabolism","hsa00100","Steroid biosynthesis","15/3484","20/9564",0.75,2.05884041331803,3.58810094620021,0.000505902811161308,0.00212722989271442,0.000981650350129108,"DHCR24/CYP27B1/LSS/SC5D/MSMO1/CYP24A1/DHCR7/LIPA/SOAT1/NSDHL/TM7SF2/CYP51A1/LBR/FDFT1/SQLE",15
"hsa04512","Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","48/3484","89/9564",0.539325842696629,1.48051445452083,3.4474359946933,0.000534412515189136,0.00220411293692737,0.00101712948077179,"CD36/SPP1/VWF/TNXB/THBS2/LAMC3/COL1A1/ITGA8/LAMA4/COL1A2/HMMR/COL4A3/LAMB2/LAMA2/RELN/COL4A5/ITGA10/SDC1/ITGA5/COMP/CD44/LAMA3/LAMC1/ITGAV/ITGA2/TNC/ITGA1/COL4A2/TNR/ITGA7/ITGB4/COL6A3/ITGB8/COL4A4/LAMB3/COL6A2/ITGA6/ITGA4/FRAS1/LAMB1/COL9A3/COL4A6/CD47/FN1/THBS1/AGRN/ITGB5/LAMC2",48
"hsa04070","Environmental Information Processing","Signal transduction","hsa04070","Phosphatidylinositol signaling system","52/3484","98/9564",0.530612244897959,1.45659457812976,3.43910075363165,0.000536891250076981,0.00220411293692737,0.00101712948077179,"PIP5K1B/INPP5A/PIK3R1/CALM1/CALM2/PLCE1/SYNJ2/PLCB4/SACM1L/ITPR1/PIK3C2B/ITPKB/IP6K1/INPP1/INPP5B/PRKCB/ITPK1/PIK3C2A/BPNT2/PIP5K1A/ITPKA/PIP5K1C/MTM1/PI4KB/PRKCA/MTMR4/PIP4K2C/PIK3R3/SYNJ1/DGKG/INPP4A/PLCB2/PLCG2/PTEN/OCRL/MTMR3/INPP4B/PPIP5K1/PIP4K2B/MTMR6/MTMR1/DGKA/DGKH/PI4KA/DGKZ/MTMR14/INPP5D/PIKFYVE/PIK3CD/INPP5E/INPPL1/PIK3R2",52
"hsa05017","Human Diseases","Neurodegenerative disease","hsa05017","Spinocerebellar ataxia","72/3484","144/9564",0.5,1.37256027554535,3.40986120791297,0.00054313384692193,0.00220411293692737,0.00101712948077179,"GNAQ/GRIA1/PIK3R1/ATP2A2/AKT3/PSMB2/SEM1/PSMB3/CYCS/PSMD14/PLCB4/ITPR1/PSMD11/PSMA5/PSMD12/ULK2/NFYA/RELN/PSMB5/PSMD4/PSMD3/SPTBN2/PPIF/PSMB4/PRKCB/PSMA2/VDAC1/PSMC4/PSMA1/BEAN1/ATXN10/PSMA6/PSMD9/PSMD2/PRKCA/KAT5/PSMD7/PSMC1/PUM2/PSMC2/XBP1/PSMD1/PUM1/FGF14/PIK3R3/ADRM1/MAPK10/PLCB2/SLC25A4/PSMA3/NOP56/ATXN2/PSMC5/RORA/BECN1/PSMC6/PSMA4/TWNK/PSMD8/PSMA7/ATXN2L/VLDLR/PSMD13/PIK3CD/AFG3L2/SP1/ATXN1/WIPI1/PSMB7/VDAC3/ATG101/PIK3R2",72
"hsa05161","Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","80/3484","163/9564",0.49079754601227,1.34729842998317,3.38527502567494,0.000575534958760206,0.00229521677056456,0.00105917106287552,"TGFBR2/PIK3R1/IRAK1/AKT3/BIRC5/STAT5B/CCNA2/NFATC1/CYCS/NFKBIA/MMP9/E2F3/FADD/CCNE1/STAT5A/CCNE2/YWHAZ/MAPK13/PRKCB/NRAS/NFATC3/CASP3/PCNA/JAK2/EGR2/TLR4/JUN/TRAF3/STAT1/FAS/PRKCA/JAK1/EGR3/DDB1/MAP3K7/CASP8/IRF7/FOS/MAP2K3/IL6/PIK3R3/MAPK10/BID/ATF2/ELK1/PTK2B/E2F1/MYD88/MAPK14/CREB3L2/IKBKE/CREB3L1/STAT6/MAP2K2/MAPK11/CDKN1A/MAPK3/TRAF6/TP53/IRF3/CDK2/CREB1/ATF6B/CREB3/YWHAQ/BAX/SMAD3/TLR3/DDB2/BCL2/PIK3CD/KRAS/STAT3/MAPK12/NFKB1/MAP2K6/VDAC3/MAPK1/SRC/PIK3R2",80
"hsa05210","Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","47/3484","87/9564",0.540229885057471,1.48299615978463,3.42572285553082,0.00057873660690453,0.00229521677056456,0.00105917106287552,"TGFBR2/PIK3R1/AKT3/BIRC5/CYCS/GADD45B/PMAIP1/NRAS/TCF7L1/CASP3/MSH6/RPS6KB1/TCF7L2/BAK1/MSH2/JUN/APC/TGFA/EGF/RAC3/BCL2L11/LEF1/FOS/RHOA/PIK3R3/RALB/MAPK10/EREG/GADD45A/AXIN1/RALGDS/MAP2K2/CDKN1A/MAPK3/TP53/RALA/RPS6KB2/BAX/SMAD3/DDB2/BCL2/PIK3CD/KRAS/EGFR/MAPK1/PIK3R2/CCND1",47
"hsa04540","Cellular Processes","Cellular community - eukaryotes","hsa04540","Gap junction","49/3484","92/9564",0.532608695652174,1.4620750761244,3.37108710345998,0.000686376697900785,0.00269152210749858,0.00124205363428528,"GNAQ/TJP1/CSNK1D/CDK1/GNA11/ADCY9/PDGFB/PLCB4/ITPR1/TUBB6/PRKCB/NRAS/ADCY3/TUBB/GNAI2/GUCY1B1/TUBA1A/GUCY1A1/TUBB3/PRKG1/PDGFRB/MAP2K5/EGF/LPAR1/TUBB2A/TUBB2B/PRKCA/GNAI3/PRKACA/PDGFA/PLCB2/PDGFRA/TUBA4A/GNAS/GJA1/MAP2K2/MAPK3/PDGFC/TUBA3D/PRKACB/DRD1/KRAS/ADRB1/EGFR/ADCY7/MAPK7/MAPK1/TUBA1C/SRC",49
"hsa04270","Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","67/3484","134/9564",0.5,1.37256027554535,3.28758855865247,0.000832435199804496,0.00322799871924188,0.00148962088386068,"NPR1/AGTR1/RAMP2/RAMP3/MYH11/MYH10/GNAQ/PRKCH/PLA2G1B/CALM1/CALM2/CALCRL/PRKCQ/MYLK/MYL9/GNA11/ADCY9/PLA2G4C/PLCB4/JMJD7-PLA2G4B/ITPR1/PTGIR/EDN1/RAMP1/PLA2G5/PPP1R12B/NPR2/ACTG2/PLA2G12A/PRKCB/EDNRA/ADCY3/GUCY1B1/GUCY1A1/ROCK2/ARHGEF12/PRKG1/MYL6B/ADORA2A/PLA2G4A/ADORA2B/CACNA1D/PPP1CB/CALD1/PRKCA/PRKACA/PLA2G3/RHOA/PLA2G4B/PPP1R12A/PLCB2/EDN2/PPP1CA/ACTA2/ROCK1/GNAS/KCNMA1/AGT/MYL6/MAP2K2/KCNMB3/MAPK3/PRKCD/PRKACB/KCNMB1/ADCY7/MAPK1",67
"hsa05212","Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","42/3484","77/9564",0.545454545454545,1.49733848241311,3.31678513628936,0.000859068209295647,0.00329342211399856,0.0015198117431512,"ARHGEF6/TGFBR2/PIK3R1/AKT3/E2F3/GADD45B/CDK4/CDKN2A/ERBB2/RPS6KB1/BAK1/TGFA/RAD51/EGF/RAC3/BRCA2/STAT1/JAK1/VEGFA/PIK3R3/RALB/MAPK10/GADD45A/E2F1/RALGDS/BCL2L1/CDKN1A/MAPK3/TP53/RALA/RPS6KB2/BAX/SMAD3/DDB2/PIK3CD/KRAS/EGFR/STAT3/NFKB1/MAPK1/PIK3R2/CCND1",42
"hsa04657","Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","50/3484","95/9564",0.526315789473684,1.44480029004774,3.29806467240804,0.000868180041512513,0.00329342211399856,0.0015198117431512,"TRAF4/JUND/MMP1/NFKBIA/MMP9/FOSB/FADD/CXCL3/MAPK13/CASP3/CXCL2/MMP13/ELAVL1/HSP90B1/JUN/TRAF3/MAPK6/TRAF3IP2/CSF3/SRSF1/TNFAIP3/MAP3K7/CASP8/FOS/HSP90AB1/IL6/IL17RA/CXCL10/MAPK10/LCN2/MMP3/MUC5B/HSP90AA1/TRAF5/MAPK14/IKBKE/CCL7/TRADD/MAPK11/IL1B/MAPK3/S100A8/USP25/TRAF6/ANAPC5/CEBPB/MAPK12/NFKB1/MAPK7/MAPK1",50
"hsa01230","Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","41/3484","75/9564",0.546666666666667,1.50066590126292,3.29498000735552,0.000928924665913347,0.00348596460649202,0.00160866410735418,"GAPDH/ENO1/PYCR1/ALDH18A1/TPI1/PFKP/ALDOA/SHMT2/PKM/IDH2/PGK1/RPE/GOT2/GOT1/PRPS2/ASNS/PSAT1/PHGDH/PRPS1/PYCR3/ACY1/ABHD14A-ACY1/PGAM1/PSPH/ENO2/RPEL1/TKT/PC/GLUL/IDH1/ARG2/ALDOB/ALDOC/SHMT1/CBS/LOC102724560/ENO3/RPIA/CTH/MAT2A/IDH3A",41
"hsa04931","Human Diseases","Endocrine and metabolic disease","hsa04931","Insulin resistance","56/3484","109/9564",0.513761467889908,1.41033716386311,3.2614272551795,0.000948785559023099,0.0035226187244581,0.00162557884132737,"CD36/ACACB/SLC27A3/GFPT1/PIK3R1/AKT3/PRKCQ/FOXO1/SLC2A1/RPS6KA2/CPT1A/NFKBIA/PTPN1/TBC1D4/PRKCB/PTPRF/PRKCZ/PPP1R3C/RPS6KB1/PPP1CB/TRIB3/IL6/PIK3R3/SLC27A2/MAPK10/RPS6KA1/GYS1/IRS2/PRKAA1/SOCS3/PTEN/PPP1CA/CPT1B/AGT/SLC27A6/CREB3L2/NR1H2/PPARA/CREB3L1/IRS1/PRKCD/CREB1/RPS6KA3/G6PC3/RPS6KB2/CREB3/PYGL/PRKAG1/PIK3CD/PYGB/STAT3/NFKB1/PYGM/OGA/OGT/PIK3R2",56
"hsa04926","Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","65/3484","130/9564",0.5,1.37256027554535,3.23746176293089,0.000987852857043874,0.00362905944324539,0.00167469791831261,"EDNRB/VEGFD/ARRB1/TGFBR2/GNG11/PIK3R1/AKT3/COL1A1/COL3A1/ADCY9/COL1A2/MMP1/PLCB4/COL4A3/NFKBIA/MMP9/EDN1/COL4A5/MAPK13/SHC3/NRAS/ADCY3/GNAI2/PRKCZ/MMP13/JUN/COL4A2/ARRB2/PRKCA/SHC1/GNAI3/PRKACA/COL4A4/FOS/VEGFA/GNB5/VEGFC/PIK3R3/MAPK10/PLCB2/ATF2/GNB1/ACTA2/COL4A6/GNAS/MAPK14/CREB3L2/CREB3L1/MAP2K2/MAPK11/MAPK3/CREB1/ATF6B/CREB3/PRKACB/PIK3CD/KRAS/EGFR/ADCY7/MAPK12/NFKB1/INSL3/MAPK1/SRC/PIK3R2",65
"hsa05218","Human Diseases","Cancer: specific types","hsa05218","Melanoma","40/3484","73/9564",0.547945205479452,1.50417564443326,3.27319340043443,0.00100412814676103,0.00365042420020416,0.0016845570883162,"PIK3R1/AKT3/FGF2/CDH1/PDGFB/E2F3/MITF/GADD45B/CDK4/FGF18/HGF/NRAS/CDKN2A/BAK1/FGFR1/PDGFRB/FGF7/EGF/PDGFA/PIK3R3/PDGFRA/PTEN/FGF9/GADD45A/E2F1/MET/MAP2K2/MDM2/CDKN1A/MAPK3/PDGFC/TP53/BAX/DDB2/PIK3CD/KRAS/EGFR/MAPK1/PIK3R2/CCND1",40
"hsa03440","Genetic Information Processing","Replication and repair","hsa03440","Homologous recombination","25/3484","41/9564",0.609756097560976,1.6738539945675,3.27306933141587,0.00117455178830991,0.00422596468165113,0.00195015109724815,"RPA3/SEM1/POLD2/BRCC3/RAD54B/RAD51C/BRCA1/RBBP8/RAD51/PALB2/TOPBP1/BRCA2/SSBP1/BARD1/RAD50/RAD54L/RPA2/RPA4/BRIP1/BLM/UIMC1/MRE11/TOP3B/POLD1/POLD4",25
"hsa05146","Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","53/3484","103/9564",0.514563106796116,1.4125377592991,3.18638433205159,0.00122496367543499,0.00436237064006952,0.0020130981991574,"GNAQ/PIK3R1/LAMC3/COL1A1/COL3A1/SERPINB6/LAMA4/GNA11/COL1A2/PLCB4/COL4A3/LAMB2/LAMA2/CXCL3/COL4A5/PRKCB/CASP3/CXCL2/C8B/LAMA3/TLR4/VCL/LAMC1/RAB5B/COL4A2/PRKCA/SERPINB9/PRKACA/IL1R1/COL4A4/LOC102723407/IL6/PIK3R3/LAMB3/RAB7A/CD1C/ARG2/PLCB2/LAMB1/COL4A6/GNAS/HSPB1/IL1B/FN1/ITGAM/RAB5A/PRKACB/PIK3CD/NFKB1/ACTN4/LAMC2/GNA14/PIK3R2",53
"hsa05207","Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","101/3484","217/9564",0.465437788018433,1.2776828371436,3.13203888265545,0.00126284371340066,0.00445184298966495,0.00205438690218289,"ARRB1/KLF4/ADRB2/GSTM5/PIK3R1/KPNA2/AKT3/FGF2/BIRC5/ADCY9/STAT5B/RXRA/RPS6KA2/RXRG/STAT5A/KPNA1/CCND3/CDC6/FGF18/PRKCB/EIF4EBP1/KPNB1/NRAS/ADCY3/GNAI2/EPHX3/JAK2/AR/GSTA4/RPS6KB1/JAG1/HSP90B1/JUN/CDC25A/EPHX2/CYP2B6/FGF7/EGF/ARRB2/CACNA1D/XIAP/VDR/PRKCA/GNAI3/PRKACA/KPNA6/FOS/HSP90AB1/VEGFA/CYP1A2/PIK3R3/BCL6/KPNA3/RPS6KA1/ATF2/ARNT/HSP90AA1/FGF9/TNFSF11/PTGES3/GSTO1/E2F1/GNAS/KPNA4/CREB3L2/IKBKE/PPARA/CREB3L1/MAP2K2/MAPK3/UGT2A1/UGT2A2/CYP3A4/CREB1/RPS6KA3/ATF6B/RPS6KB2/RXRB/CREB3/CYP1B1/PRKACB/BCL2/PIK3CD/KRAS/ADRB1/EGFR/ADCY7/STAT3/UGT1A9/UGT1A10/UGT1A8/UGT1A6/UGT1A4/UGT1A1/NFKB1/MAPK1/EPHX1/SRC/PIK3R2/CCND1/GSTM2",101
"hsa04130","Genetic Information Processing","Folding, sorting and degradation","hsa04130","SNARE interactions in vesicular transport","21/3484","33/9564",0.636363636363636,1.74689489614863,3.25335599667276,0.00133389572592277,0.00465529608347046,0.00214827416911772,"STX11/STX2/YKT6/VAMP3/VAMP2/GOSR2/SEC22B/STX1A/STX7/BET1/VAMP5/VAMP4/STX6/STX16/STX8/SNAP29/VTI1A/SNAP23/GOSR1/BET1L/STX18",21
"hsa05144","Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","29/3484","50/9564",0.58,1.59216991963261,3.17785540717633,0.00150331244304998,0.00519461428341034,0.00239715272315422,"CD36/PECAM1/HBB/SELP/HBA1/HBA2/THBS2/ACKR1/CD81/GYPC/SDC2/ITGAL/SDC1/HGF/COMP/LRP1/TLR4/CSF3/KLRK1/KLRC4-KLRK1/SELE/IL6/VCAM1/ICAM1/KLRB1/MYD88/MET/IL1B/THBS1",29
"hsa01240","Metabolism","Global and overview maps","hsa01240","Biosynthesis of cofactors","74/3484","154/9564",0.480519480519481,1.31908390117345,3.02172406486706,0.00189796310730626,0.00645745503862556,0.00297991440479479,"NME1/AK2/RGN/NME2/NME1-NME2/HSD17B6/ALDH2/AK1/CAD/MOCS1/SHMT2/AK4/PMM2/GSS/EPRS1/NME4/HMBS/FLAD1/MTHFD2/COASY/NQO1/DHFR/PTS/PMM1/MTHFD1/ADSS2/PSAT1/CPOX/ADSL/UGDH/GGH/GCLC/PDXK/UMPS/TPK1/NADK/GMPPA/CTPS2/NMNAT2/SPR/ALAD/GGCX/QPRT/AK6/GMPPB/VKORC1/ALPL/NFS1/AKR1A1/KMO/ALDH1B1/PPCS/GCLM/ALDH3A2/TDO2/OXSM/RFK/PNPO/ALAS1/CTPS1/SHMT1/COQ2/UGT2A1/UGT2A2/MPI/COX10/PANK3/UGT1A9/UGT1A10/UGT1A8/UGT1A6/UGT1A4/UGT1A1/MAT2A",74
"hsa04216","Cellular Processes","Cell growth and death","hsa04216","Ferroptosis","25/3484","42/9564",0.595238095238095,1.63400032803018,3.11698276307764,0.00190578185953706,0.00645745503862556,0.00297991440479479,"SLC39A8/CP/GSS/NCOA4/STEAP3/LPCAT3/ACSL3/SLC7A11/GCLC/PCBP2/TFRC/SLC39A14/FTL/GCLM/MAP1LC3C/ACSL4/ACSL1/FTH1/PRNP/MAP1LC3B/TP53/ACSL6/ATG5/CYBB/VDAC3",25
