"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043470","BP","GO:0043470","regulation of carbohydrate catabolic process","35/6139","68/18860",0.514705882352941,1.58125964182708,3.33568970867015,0.000931779758194342,0.00601432321597302,0.00365597851242429,"CBFA2T3/PHKA1/GPD1/KAT2B/ZBTB20/EIF6/MTCH2/FBP1/HIF1A/ZBTB7A/MLST8/HDAC4/PRKACA/TREX1/UCHL1/ARNT/ALDOB/PRKAA1/DDIT4/PPP1CA/NCOR1/SLC4A4/NUPR1/PPARA/SLC2A6/TP53/GSK3A/PHKG2/ARL2/PRKAG1/IER3/PSEN1/STAT3/OGT/SRC",35
"GO:0000956","BP","GO:0000956","nuclear-transcribed mRNA catabolic process","59/6139","128/18860",0.4609375,1.41607448281479,3.2811910096351,0.000932035957633125,0.00601432321597302,0.00365597851242429,"EXOSC7/PAIP1/CTIF/NCBP2/MRTO4/ZFP36/EXOSC4/CSNK2A1/ETF1/DCPS/BTG2/SYNCRIP/HNRNPD/PNRC2/HNRNPAB/EXOSC5/SMG8/PABPC1/CNOT9/SMG7/MAGOHB/ZFP36L2/CSDE1/RNPS1/DCP1A/NCBP1/GSPT1/SMG5/SECISBP2/DIS3/CPEB3/CAPRIN1/HNRNPU/PNRC1/AGO2/LSM7/LSM4/EXOSC2/LSM1/DHX9/GTPBP2/EIF4A3/MAGOH/EDC3/CNOT3/UPF3B/CASC3/SSB/RBM8A/SAMD4A/SMG6/HBS1L/POLR2G/ZFP36L1/SKIC2/DDX5/PAN2/CNOT4/CNOT1",59
"GO:0045471","BP","GO:0045471","response to ethanol","59/6139","128/18860",0.4609375,1.41607448281479,3.2811910096351,0.000932035957633125,0.00601432321597302,0.00365597851242429,"CLDN5/CLDN18/CAT/CDO1/GRIA1/FGFR2/FYN/FGF2/CDK1/CLDN3/NTRK3/CPT1A/PSMD14/RBP4/FOSB/CA3/TBXA2R/GOT2/GABBR1/CD68/HPGD/CD4/POLB/BAK1/TBXAS1/CSF3/TNC/ALAD/PENK/SPI1/PRKCA/RGS2/CASP8/FOS/HDAC2/VCAM1/DNMT3A/SLC23A2/CLDN1/PRKAA1/ELK1/ALAS1/MYD88/PPARA/CCL7/GATA3/SOX2/S100A8/EEF1B2/CREB1/RARA/G6PD/SDF4/SOD1/CD27/CYBB/ADCY7/STAT3/CCND1",59
"GO:0003094","BP","GO:0003094","glomerular filtration","19/6139","31/18860",0.612903225806452,1.88293774860884,3.41778567061428,0.000938706441256567,0.00601754458296729,0.00365793671255567,"EMP2/CD34/SULF1/GAS6/CORO2B/AQP1/PDGFB/F2RL1/ADGRF5/MCAM/EDN1/EDNRA/IGHA1/MYO1E/PTPRO/IGHA2/ADORA1/TBC1D8B/GJA5",19
"GO:0021801","BP","GO:0021801","cerebral cortex radial glia-guided migration","19/6139","31/18860",0.612903225806452,1.88293774860884,3.41778567061428,0.000938706441256567,0.00601754458296729,0.00365793671255567,"PAFAH1B1/FYN/COL3A1/ZMIZ1/RELN/CDK5/BMERB1/LRP8/MBOAT7/ADGRG1/RTN4/CDK5R1/RNF7/WDR47/SUN2/LAMB1/CUL5/SYNE2/SUN1",19
"GO:0022030","BP","GO:0022030","telencephalon glial cell migration","19/6139","31/18860",0.612903225806452,1.88293774860884,3.41778567061428,0.000938706441256567,0.00601754458296729,0.00365793671255567,"PAFAH1B1/FYN/COL3A1/ZMIZ1/RELN/CDK5/BMERB1/LRP8/MBOAT7/ADGRG1/RTN4/CDK5R1/RNF7/WDR47/SUN2/LAMB1/CUL5/SYNE2/SUN1",19
"GO:0034315","BP","GO:0034315","regulation of Arp2/3 complex-mediated actin nucleation","19/6139","31/18860",0.612903225806452,1.88293774860884,3.41778567061428,0.000938706441256567,0.00601754458296729,0.00365793671255567,"GMFG/WASF3/WASHC2C/WASHC2A/WASF2/FCHSD2/RNH1/CORO1B/GMFB/ARFIP2/WASF1/CARMIL1/ARF1/CYFIP1/HIP1R/WASHC5/NCKAP1/WASHC3/ARFIP1",19
"GO:0046823","BP","GO:0046823","negative regulation of nucleocytoplasmic transport","19/6139","31/18860",0.612903225806452,1.88293774860884,3.41778567061428,0.000938706441256567,0.00601754458296729,0.00365793671255567,"CD36/ANGPT1/PKIG/FERMT1/NFKBIA/CDK5/PARK7/DDX39A/NF1/BARD1/SUMO1/PKIA/RANGAP1/TXN/EI24/TPR/CHP1/SP100/RANBP2",19
"GO:0032640","BP","GO:0032640","tumor necrosis factor production","85/6139","196/18860",0.433673469387755,1.33231497518375,3.24880096776259,0.000939148895504708,0.00601754458296729,0.00365793671255567,"CD36/AGER/MIF/LPL/ANGPT1/GAS6/PIK3R1/IL33/HLA-E/CLU/ACP5/ZFP36/FADD/SIRPA/ZBTB20/ARHGEF2/EPHB2/SYT11/LILRA2/BTK/IRAK3/TYROBP/CX3CR1/IFNGR1/JAK2/PF4/TLR4/AKAP12/AXL/CX3CL1/TWIST1/ARRB2/TNFAIP3/RIPK2/FZD5/AKAP8/FCER1G/OAS1/PTPN6/ARID5A/CAMP/IL6/NRDC/OAS3/OAS2/HDAC2/TREX1/ARG2/DHX9/ARFGEF2/SASH3/PLCG2/PYCARD/MAPKAPK2/CCL19/PTPRC/SETD4/DICER1/HSF1/MYD88/CD47/FXR1/ILRUN/HSPB1/LY96/ADAM17/RAD21/UBE2J1/RARA/THBS1/LILRB4/CD33/TNFRSF8/TLR3/CLEC7A/IL37/CLEC4A/TSPO/CARD9/PSEN1/WNT5A/CYBB/STAT3/FCGR2A/FCGR2C",85
"GO:0032680","BP","GO:0032680","regulation of tumor necrosis factor production","85/6139","196/18860",0.433673469387755,1.33231497518375,3.24880096776259,0.000939148895504708,0.00601754458296729,0.00365793671255567,"CD36/AGER/MIF/LPL/ANGPT1/GAS6/PIK3R1/IL33/HLA-E/CLU/ACP5/ZFP36/FADD/SIRPA/ZBTB20/ARHGEF2/EPHB2/SYT11/LILRA2/BTK/IRAK3/TYROBP/CX3CR1/IFNGR1/JAK2/PF4/TLR4/AKAP12/AXL/CX3CL1/TWIST1/ARRB2/TNFAIP3/RIPK2/FZD5/AKAP8/FCER1G/OAS1/PTPN6/ARID5A/CAMP/IL6/NRDC/OAS3/OAS2/HDAC2/TREX1/ARG2/DHX9/ARFGEF2/SASH3/PLCG2/PYCARD/MAPKAPK2/CCL19/PTPRC/SETD4/DICER1/HSF1/MYD88/CD47/FXR1/ILRUN/HSPB1/LY96/ADAM17/RAD21/UBE2J1/RARA/THBS1/LILRB4/CD33/TNFRSF8/TLR3/CLEC7A/IL37/CLEC4A/TSPO/CARD9/PSEN1/WNT5A/CYBB/STAT3/FCGR2A/FCGR2C",85
